rxn_id,kind,pred_score,ensemble,n_int
PPPNt2rpp,down,0.6576659986028632,0.6576659986028632,1
3OAR80,down,0.657659983705709,0.657659983705709,1
PSSA120,down,0.6576378572399155,0.6576378572399155,1
DHPTPE,ko,0.6576227004149722,0.6576227004149722,1
AST,oe,0.6575909863750465,0.6575909863750465,1
INDOLEt2pp,down,0.6575456233321002,0.6575456233321002,1
GMHEPK,ko,0.6575028017518538,0.6575028017518538,1
S4FE4ST,oe,0.6575003646334753,0.6575003646334753,1
3OAR181,ko,0.6574203907580763,0.6574203907580763,1
CLPNH181pp,down,0.6573982313309281,0.6573982313309281,1
PYK,down,0.6573973848409121,0.6573973848409121,1
SUCASPtpp,ko,0.657386932562119,0.657386932562119,1
MAN1PT2,down,0.6573851943645252,0.6573851943645252,1
NTD6,down,0.6573621632226564,0.6573621632226564,1
ACGAMK,down,0.6573282511451961,0.6573282511451961,1
EDTXS1,ko,0.6573162693953506,0.6573162693953506,1
LYSabcpp,ko,0.6572647246636477,0.6572647246636477,1
GUAt2pp,oe,0.6572225894547978,0.6572225894547978,1
GLCURt2rpp,down,0.6572188641792722,0.6572188641792722,1
PE140abcpp,ko,0.6571714163089273,0.6571714163089273,1
GLCNt2rpp,ko,0.6571609329607335,0.6571609329607335,1
DDGLCNt2rpp,ko,0.6571609329607335,0.6571609329607335,1
ZN2abcpp,down,0.6571605950287366,0.6571605950287366,1
ZNabcpp,down,0.6571605950287366,0.6571605950287366,1
NI2abcpp,down,0.6571605950287366,0.6571605950287366,1
NI2uabcpp,down,0.6571605950287366,0.6571605950287366,1
EAR160y,ko,0.6571478152912529,0.6571478152912529,1
FEOXAMabcpp,oe,0.6571385468975687,0.6571385468975687,1
FE3HOXabcpp,oe,0.6571385468975687,0.6571385468975687,1
FECRMabcpp,oe,0.6571385468975687,0.6571385468975687,1
PA181abcpp,down,0.6571308875472681,0.6571308875472681,1
PE140abcpp,down,0.6571190765800705,0.6571190765800705,1
S2FE2SR,down,0.6570860856534264,0.6570860856534264,1
XYLabcpp,ko,0.6570826371605689,0.6570826371605689,1
UAG2E,ko,0.6569404130054433,0.6569404130054433,1
BETALDHy,down,0.6569338554998108,0.6569338554998108,1
CYTDH,down,0.6569082116289611,0.6569082116289611,1
PGPP140,down,0.6568749534229708,0.6568749534229708,1
PGP181abcpp,ko,0.6568454848372782,0.6568454848372782,1
PG141abcpp,ko,0.6568362169560819,0.6568362169560819,1
FLVRx,ko,0.65683587107566,0.65683587107566,1
PGP180abcpp,ko,0.6568203682388577,0.6568203682388577,1
DOGULNR,oe,0.6567843230213448,0.6567843230213448,1
BUTt2rpp,down,0.6567818803063193,0.6567818803063193,1
FUCtpp,down,0.6567818803063193,0.6567818803063193,1
AGM3Pt2pp,down,0.6567638613573072,0.6567638613573072,1
HG2abcpp,down,0.6567620410105964,0.6567620410105964,1
